"Healthy","F0","F4"
"H2AX","H4","H4"
"H4","H2AX","H2AX"
"H37","H37","H37"
"HBB","H2B1J;H2B2E","H2B1J;H2B2E"
"MYL1","ACTB;ACTG","FIBB"
"IGHM","HBB","H2B1D;H2B1H;H2B1L;H2B1M;H2B1N;H2B2F"
"H2B1J;H2B2E","FIBB","FIBG"
"FRIL","FRIL","IGHM"
"MYH4","H33","H33"
"MYH8","IGHM","FIBA"
"HBA","H2B1D;H2B1H;H2B1L;H2B1M;H2B1N;H2B2F","HBB"
"ACTH","ACTH","FRIL"
"MYH13","HBA","ACTB;ACTG"
"ACTB;ACTG","AOC3","AOC3"
"H33","ACTBL","ACTH"
"FIBB","ALBU","HBA"
"ALBU","FIBG","FRIH"
"A2MG","A2MG","H2A1H;H2A1J;H2A1;H2AJ"
"FRIH","ACTBM","IGK"
"HPT","FRIH","ACTBL"
"IGK","FIBA","ALBU"
"CRYAB","HPT","A2MG"
"ASSY","FAS","PERM"
"MYH1","CRYAB","HPT"
"ACTBL","ANXA2","ACTBM"
"PERM","IGK","TRFL"
"H2B1D;H2B1H;H2B1L;H2B1M;H2B1N;H2B2F","ADH1G","CRYAB"
"TRFL","VIME","RS27A"
"ACTBM","TBA1C","ELNE"
"FIBG","CO6A2","ANXA2"
"ELNE","ASSY","RTN4"
"AOC3","IGG1","IGG1"
"VIME","RTN4","IGHA1"
"KCRM","TBA4A","CO6A2"
"CO6A2","H2A1H;H2A1J;H2A1;H2AJ","ADH1G"
"K2C1","TRFL","K2C1"
"FIBA","EHD2","VIME"
"IGG1","CO6A1","IGL1"
"CO6A1","PERM","TBA1C"
"TBA1C","CO6A3","ANXA5"
"FAS","ANXA5","FAS"
"CATA","PGBM","CAV1"
"TPM1","PSA6","IGKC"
"CO6A3","CATA","CO6A1"
"IGKC","IGL1","HYEP"
"ADH1G","IGKC","VWF"
"RTN4","IGHA1","CO6A3"
"ANXA2","LAMC1","PSA6"
"IGL1","ADH1B","TBA4A"
"K1C9","PSA7","K1C9"
"PSA6","CAV1","H2AY"
"PGBM","RS27A","H2A2B"
"LAMC1","K2C1","MVP"
"K1C10","VWF","H2AV;H2AZ"
"IGHA1","APOF","PGBM"
"ACTC","PSA4","PSA7"
"EHD2","LAMB1","EHD2"
"TBA4A","LG3BP","CATA"
"AT2A1","LAMA4","FINC"
"LAMA4","NID1","LAMC1"
"PSA7","EF1A1;EF1A3","APOF"
"PGS2","PSA1","ADH1B"
"KATL2","FINC","ANXA6"
"LAMB1","TBB5","PSA4"
"PSA4","TBB6","VTNC"
"NID1","PGS2","K1C10"
"KV401","HYEP","KATL2"
"CSPG2","GBB4","NID1"
"LAMB2","ACSL1","LAMB1"
"HYEP","MYO1C","IGLC7"
"IGHG2","KATL2","PSB4"
"ANXA5","METK1","RTN3"
"VWF","PSB2","MYO1C"
"KV320","PSB4","TERA"
"CD5L","CLH1","CSPG2"
"PSA1","PH4H","TBB5"
"PSB4","PSA5","EF1A1;EF1A3"
"PSA5","EF1A2","LAMA4"
"RS27A","PSB1","ANXA1"
"CAV1","K1C10","B3AT"
"MEIOC","DNPEP","TBB6"
"LDHB","TERA","KV320"
"IGJ","MVP","KV401"
"FINC","IDHC","MGST1"
"MYO1C","LDHB","ACSL1"
"IGLC7","ANXA1","PSB2"
"TBB5","LIPS","GBB4"
"APOA1","H2AY","CD63"
"PSB6","LAMB2","CD36"
"PSB2","IGHG2","PSA1"
"LDHA","K1C18","PSB1"
"K1C18","CSPG2","PSA5"
"KV315","IGLC7","THY1"
"PSB1","LDHA","LG3BP"
"UGPA","RTN3","PGS2"
"ADH1B","PSA3","CD5L"
"TBB6","APOA1","CAP7"
"LG3BP","ANXA6","IGJ"
"TERA","PSB3","KV311;KVD11"
"CAP7","PSA2","PSA3"
